quote,author,title,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,keywords
"“The argument of Chapter 2, applied to any interference phenomenon destroys the classical idea that there is only one universe. Logically, the possibility of complex quantum computations adds nothing to a case that is already unanswerable. But it does add psychological impact. With Shor’s algorithm, the argument has been writ very large. To those who still cling to a single-universe world-view, I issue this challenge: explain how Shor’s algorithm works. I do not merely mean predict that it will work, which is merely a matter of solving a few uncontroversial equations. I mean provide an explanation. When Shor’s algorithm has factorized a number, using 10500 or so times the computational resources that can be seen to be present, where was the number factorized? There are only about 1080 atoms in the entire visible universe, an utterly minuscule number compared with 10500. So if the visible universe were the extent of physical reality, physical reality would not even remotely contain the resources required to factorize such a large number. Who did factorize it, then? How, and where, was the computation performed?”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,explanation,computer,physics,quantum,computation,universe,explainer,prediction,,,,,
"“Shoddy explanations that yield correct predictions are two a penny, as UFO enthusiasts, conspiracy-theorists and pseudo-scientists of every variety should (but never do) bear in mind.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,prediction,explanation,theory,,,,,,,,,,
"“inventing falsehoods is easy, and therefore they are easy to vary once found; discovering good explanations is hard, but the harder they are to find, the harder they are to vary once found.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,,,,,,,,,,,,
"“Proportional representation is often defended on the grounds that it leads to coalition governments and compromise policies. But compromises – amalgams of the policies of the contributors – have an undeservedly high reputation. Though they are certainly better than immediate violence, they are generally, as I have explained, bad policies. If a policy is no one’s idea of what will work, then why should it work? But that is not the worst of it. The key defect of compromise policies is that when one of them is implemented and fails, no one learns anything because no one ever agreed with it.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explainer,gene,government,,,,,,,,,,
“One of the consequences of optimism is that one expects to learn from failure – one’s own and others’.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,optimism,,,,,,,,,,,,
"“The system used to elect members of the legislatures of most countries in the British political tradition is that each district (or ‘constituency’) in the country is entitled to one seat in the legislature, and that seat goes to the candidate with the largest number of votes in that district. This is called the plurality voting system (‘plurality’ meaning ‘largest number of votes’) – often called the ‘first-past-the-post’ system, because there is no prize for any runner-up, and no second round of voting (both of which feature in other electoral systems for the sake of increasing the proportionality of the outcomes). Plurality voting typically ‘over-represents’ the two largest parties, compared with the proportion of votes they receive. Moreover, it is not guaranteed to avoid the population paradox, and is even capable of bringing one party to power when another has received far more votes in total.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“The meaning of life is something we are using creativity to discover, to build. We can’t find the meaning of life in the world ‘out there’, nor just by pure thought, or by reference to an authority. What we have to do is form explanations about what is right and wrong, what is better and worse, what is beautiful and ugly, and hone those theories, while also trying to meet them. At any one moment, we will meet them imperfectly, just like scientific theories, at any one moment, are only an imperfect explanation of what the physical world is like. But, through criticism and conjecture and seeking the truth, we can resolve the errors in what we had previously thought and thereby make progress.”",David Deutsch,N/A,explanation,physics,conjecture,theory,creativity,,,,,,,,
"“I think that there is only one way to science – or to philosophy, for that matter: to meet a problem, to see its beauty and fall in love with it; to get married to it and to live with it happily, till death do ye part – unless you should meet another and even more fascinating problem or unless, indeed, you should obtain a solution. But even if you do obtain a solution, you may then discover, to your delight, the existence of a whole family of enchanting, though perhaps difficult, problem children…”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,problem,,,,,,,,,,,
"“Yet, over time, the conclusions that science has drawn have become ever truer to reality.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,,,,,,,,,,,,
"“There is an explanatory link between ought and is, and this provides one of the ways in which reason can indeed address moral issues.”",David Deutsch,N/A,explanation,,,,,,,,,,,,
"“It would be astonishing if the details of a primitive, static society’s collapse had any relevance to hidden dangers that may be facing our open, dynamic and scientific society, let alone what we should do about them.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,static,dynamic,imitation,,,,,,,,,,
“Bad philosophy before the Enlightenment was typically of the because-I-say-so variety.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,,,,,,,,,,,,
"“If a parrot had copied snatches of Popper’s voice at a lecture, it would certainly have copied them with his Austrian accent: parrots are incapable of copying an utterance without its accent. But a human student might well be unable to copy it with the accent.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“It is inevitable that we face problems, but no particular problem is inevitable. We survive, and thrive, by solving each problem as it comes up. And, since the human ability to transform nature is limited only by the laws of physics, none of the endless stream of problems will ever constitute an impassable barrier. So a complementary and equally important truth about people and the physical world is that problems are soluble. By ‘soluble’ I mean that the right knowledge would solve them. It is not, of course, that we can possess knowledge just by wishing for it; but it is in principle accessible to”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,physics,imitation,problem,knowledge,quale,,,,,,,,
"“As I said, imitation is not at the heart of human meme replication.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,meme,replicator,imitation,,,,,,,,,,
"“Suppose that the lecturer had repeatedly returned to a certain key idea, and had expressed it with different words and gestures each time. The parrot’s (or ape’s) job would be that much harder than imitating only the first instance; the student’s much easier, because to a human observer each different way of putting the idea would convey additional knowledge.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,knowledge,imitation,,,,,,,,,,,
"“Using our explanations, we ‘see’ right through the behaviour to the meaning.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,behaviourism,,,,,,,,,,,
"“Because pessimism needs to counter that argument in order to be at all persuasive, a recurring theme in pessimistic theories throughout history has been that an exceptionally dangerous moment is imminent. Our Final Century makes the case that the period since the mid twentieth century has been the first in which technology has been capable of destroying civilization. But that is not so. Many civilizations in history were destroyed by the simple technologies of fire and the sword. Indeed, of all civilizations in history, the overwhelming majority have been destroyed, some intentionally, some as a result of plague or natural disaster. Virtually all of them could have avoided the catastrophes that destroyed them if only they had possessed a little additional knowledge, such as improved agricultural or military technology, better hygiene, or better political or economic institutions. Very few, if any, could have been saved by greater caution about innovation. In fact most had enthusiastically implemented the precautionary principle.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,institution,knowledge,culture,theory,,,,,,,,,
"“Since theories can contradict each other, but there are no contradictions in reality, every problem signals that our knowledge must be flawed or inadequate.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,knowledge,problem,theory,,,,,,,,,,
"“And they carry much the same content: not only is the universe full of evidence, it is full of the same evidence everywhere. All people in the universe, once they have understood enough to free themselves from parochial obstacles, face essentially the same opportunities. This is an underlying unity in the physical world more significant than all the dissimilarities I have described between our environment and a typical one: the fundamental laws of nature are so uniform, and evidence about them so ubiquitous, and the connections between understanding and control so intimate, that, whether we are on our parochial home planet or a hundred million light years away in the intergalactic plasma, we can do the same science and make the same progress.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,universe,science,physics,parochialism,,,,,,,,,
"“Most ancient accounts of the reality beyond our everyday experience were not only false, they had a radically different character from modern ones: they were anthropocentric. That is to say, they centred on human beings, and more broadly on people – entities with intentions and human-like thoughts – which included powerful, supernatural people such as spirits and gods.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,anthropocentric,,,,,,,,,,,,
"“The real situation is that people need inexplicit knowledge to understand laws and other explicit statements, not vice versa.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inexplicit,knowledge,explicit,,,,,,,,,,
"“Some philosophers confine the term ‘moral’ to problems about how one should treat other people. But such problems are continuous with problems of individuals choosing what sort of life to lead, which is why I adopt the more inclusive definition.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,problem,,,,,,,,,,,,
"“It is a classic example of the deceptiveness of the senses: the Earth looks and feels as though it is at rest beneath our feet, even though it is really rotating. As for the celestial sphere, despite being visible in broad daylight (as the sky), it does not exist at all.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“Therefore, if the ancient Greeks had known that a warm growing season occurs in Australia at the very moment when, as they believed, Demeter is at her saddest, they could have inferred that there was something wrong with their explanation of seasons.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,,,,,,,,,,,,
"“The Easter Island civilization collapsed because no human situation is free of new problems, and static societies are inherently unstable in the face of new problems.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,static,problem,,,,,,,,,,,
"“As the ancient philosopher Heraclitus remarked, ‘No man ever steps in the same river twice, for it is not the same river and he is not the same man.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“The very phrase ‘It’s a matter of taste’ is used interchangeably with ‘There is no objective truth of the matter”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“so in this book when I refer to ‘the’ Enlightenment I mean the ‘British’ one.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,,,,,,,,,,,,
"“The fact that everything that is not forbidden by laws of nature is achievable, given the right knowledge. ‘Problems are soluble.’ – The ‘perspiration’ phase can always be automated. – The knowledge-friendliness of the physical world. – People are universal constructors. – The beginning of the open-ended creation of explanations. – The environments that could create an open-ended stream of knowledge, if suitably primed – i.e. almost all environments. – The fact that new explanations create new problems.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,physics,rationality,constructor,problem,universe,rational,knowledge,,,,,
"“Behind it all is surely an idea so simple, so beautiful, that when we grasp it – in a decade, a century, or a millennium – we will all say to each other, how could it have been otherwise?”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“The Royal Society, for instance, was founded in 1660 – a development that would hardly have been conceivable a generation earlier.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rational,gene,rationality,,,,,,,,,,
“Roy Porter marks 1688 as the beginning of the English Enlightenment.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,,,,,,,,,,,,
"“But the sea change in the values and patterns of thinking of a whole community of thinkers, which brought about a sustained and accelerating creation of knowledge, happened only once in history, with the Enlightenment and its scientific revolution. An entire political, moral, economic and intellectual culture – roughly what is now called ‘the West’ – grew around the values entailed by the quest for good explanations, such as tolerance of dissent, openness to change, distrust of dogmatism and authority, and the aspiration to progress both by individuals and for the culture as a whole.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,rationality,sustain,rational,knowledge,culture,enlightenment,pattern,west,,,,
"“But, in reality, scientific theories are not ‘derived’ from anything. We do not read them in nature, nor does nature write them into us. They are guesses – bold conjectures. Human minds create them by rearranging, combining, altering and adding to existing ideas with the intention of improving upon them. We do not begin with ‘white paper’ at birth, but with inborn expectations and intentions and an innate ability to improve upon them using thought and experience. Experience is indeed essential to science, but its role is different from that supposed by empiricism. It is not the source from which theories are derived. Its main use is to choose between theories that have already been guessed. That is what ‘learning from experience’ is.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,conjecture,science,empiricism,theory,,,,,,,,,
“: it is only when a theory is a good explanation – hard to vary – that it even matters whether it is testable. Bad explanations are equally useless whether they are testable or not.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,quale,,,,,,,,,,,
"“This has given rise to a misconception known as ‘Occam’s razor’ (named after the fourteenth-century philosopher William of Occam, but dating back to antiquity), namely that one should always seek the ‘simplest explanation’. One statement of it is ‘Do not multiply assumptions beyond necessity.’ However, there are plenty of very simple explanations that are nevertheless easily variable (such as ‘Demeter did it’). And, while assumptions ‘beyond necessity’ make a theory bad by definition, there have been many mistaken ideas of what is ‘necessary’ in a theory. Instrumentalism, for instance, considers explanation itself unnecessary, and so do many other bad philosophies of science, as I shall discuss in Chapter 12”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,instrumentalism,explanation,science,,,,,,,,,,
"“The quest for good explanations is, I believe, the basic regulating principle not only of science, but of the Enlightenment generally. It is the feature that distinguishes those approaches to knowledge from all others, and it implies all those other conditions for scientific progress I have discussed: It trivially implies that prediction alone is insufficient. Somewhat less trivially, it leads to the rejection of authority, because if we adopt a theory on authority, that means that we would also have accepted a range of different theories on authority. And hence it also implies the need for a tradition of criticism.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,science,explanation,gene,prediction,knowledge,theory,enlightenment,,,,,,
"“What if you’d rather not know? You may not like these predictions. Your friends and colleagues may ridicule them. You may try to modify the explanation so that it will not make them, without spoiling its agreement with observations and with other ideas for which you have no good alternatives. You will fail. That is what a good explanation will do for you: it makes it harder for you to fool yourself.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,prediction,explanation,,,,,,,,,,,
"“. But the sea change in the values and patterns of thinking of a whole community of thinkers, which brought about a sustained and accelerating creation of knowledge, happened only once in history, with the Enlightenment and its scientific revolution. An entire political, moral, economic and intellectual culture – roughly what is now called ‘the West’ – grew around the values entailed by the quest for good explanations, such as tolerance of dissent, openness to change, distrust of dogmatism and authority, and the aspiration to progress both by individuals and for the culture as a whole.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,rationality,sustain,rational,knowledge,culture,enlightenment,pattern,west,,,,
"“So there is no resource-management strategy that can prevent disasters, just as there is no political system that provides only good leaders and good policies, nor a scientific method that provides only true theories. But there are ideas that reliably cause disasters, and one of them is, notoriously, the idea that the future can be scientifically planned. The only rational policy, in all three cases, is to judge institutions, plans and ways of life according to how good they are at correcting mistakes: removing bad policies and leaders, superseding bad explanations, and recovering from disasters.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,rationality,institution,rational,theory,,,,,,,,
"“For example, one of the triumphs of twentieth-century progress was the discovery of antibiotics, which ended many of the plagues and endemic illnesses that had caused suffering and death since time immemorial. However, it has been pointed out almost from the outset by critics of ‘so-called progress’ that this triumph may only be temporary, because of the evolution of antibiotic-resistant pathogens. This is often held up as an indictment of – to give it its broad context – Enlightenment hubris. We need lose only one battle in this war of science against bacteria and their weapon, evolution (so the argument goes), to be doomed, because our other ‘so-called progress’ – such as cheap worldwide air travel, global trade, enormous cities – makes us more vulnerable than ever before to a global pandemic that could exceed the Black Death in destructiveness and even cause our extinction.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,science,,,,,,,,,,,
“But all triumphs are temporary. So to use this fact to reinterpret progress as ‘so-called progress’ is bad philosophy. The fact that reliance on specific antibiotics is unsustainable is only an indictment from the point of view of someone who expects a sustainable lifestyle. But in reality there is no such thing. Only progress is sustainable.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,interpretation,sustain,,,,,,,,,,,
“Good/bad explanation   An explanation that is hard/easy to vary while still accounting for what it purports to account for.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,,,,,,,,,,,,
"“We do so by seeking good explanations – explanations that are hard to vary in the sense that changing the details would ruin the explanation. This, not experimental testing, was the decisive factor in the scientific revolution, and also in the unique, rapid, sustained progress in other fields that have participated in the Enlightenment. That was a rebellion against authority which, unlike most such rebellions, tried not to seek authoritative justifications for theories, but instead set up a tradition of criticism.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,justificationism,sustain,theory,enlightenment,,,,,,,,
"“The prophetic approach can see only what one might do to postpone disaster, namely improve sustainability: drastically reduce and disperse the population, make travel difficult, suppress contact between different geographical areas. A society which did this would not be able to afford the kind of scientific research that would lead to new antibiotics. Its members would hope that their lifestyle would protect them instead. But note that this lifestyle did not, when it was tried, prevent the Black Death. Nor would it cure cancer.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,education,sustain,,,,,,,,,,,
"“(To avoid misunderstanding, let me stress that experience provides problems only by bringing already-existing ideas into conflict. It does not, of course, provide theories.)”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,problem,theory,,,,,,,,,,,
"“Both the future of civilization and the outcome of a game of Russian roulette are unpredictable, but in different senses and for entirely unrelated reasons. Russian roulette is merely random. Although we cannot predict the outcome, we do know what the possible outcomes are, and the probability of each, provided that the rules of the game are obeyed. The future of civilization is unknowable, because the knowledge that is going to affect it has yet to be created. Hence the possible outcomes are not yet known, let alone their probabilities.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,prediction,knowledge,,,,,,,,,,,
"“Just as no one in 1900 could have foreseen the consequences of innovations made during the twentieth century – including whole new fields such as nuclear physics, computer science and biotechnology – so our own future will be shaped by knowledge that we do not yet have.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,physics,computer,computation,knowledge,,,,,,,,
"“Fallibilists expect even their best and most fundamental explanations to contain misconceptions in addition to truth, and so they are predisposed to try to change them for the better. In contrast, the logic of justificationism is to seek (and typically, to believe that one has found) ways of securing ideas against change. Moreover, the logic of fallibilism is that one not only seeks to correct the misconceptions of the past, but hopes in the future to find and change mistaken ideas that no one today questions or finds problematic. So it is fallibilism, not mere rejection of authority, that is essential for the initiation of unlimited knowledge growth – the beginning of infinity.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,justificationism,imitation,infinite,problem,fallibilism,knowledge,inf,,,,,
"“As the physicist Richard Feynman said, ‘Science is what we have learned about how to keep from fooling ourselves.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,physics,,,,,,,,,,,
“People in 1900 did not consider the internet or nuclear power unlikely: they did not conceive of them at all.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“An entire political, moral, economic and intellectual culture – roughly what is now called ‘the West’ – grew around the values entailed by the quest for good explanations, such as tolerance of dissent, openness to change, distrust of dogmatism and authority, and the aspiration to progress both by individuals and for the culture as a whole.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,rationality,rational,culture,west,,,,,,,,
"“Thus we acquire ever more knowledge of reality by solving problems and finding better explanations. But when all is said and done, problems and explanations are located within the human mind, which owes its reasoning power to a fallible brain, and its supply of information to fallible senses. What, then, entitles a human mind to draw conclusions about objective, external reality from its own purely subjective experience and reason?”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,problem,knowledge,explanation,,,,,,,,,,
"“Like Lagrange, Michelson himself had already contributed unwittingly to the new system – in this case with an experimental result. In 1887 he and his colleague Edward Morley had observed that the speed of light relative to an observer remains constant when the observer moves.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,relativism,,,,,,,,,,,,
"“But one thing that all conceptions of the Enlightenment agree on is that it was a rebellion, and specifically a rebellion against authority in regard to knowledge.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,enlightenment,knowledge,,,,,,,,,,,
"“Rejecting authority in regard to knowledge was not just a matter of abstract analysis. It was a necessary condition for progress, because, before the Enlightenment, it was generally believed that everything important that was knowable had already been discovered, and was enshrined in authoritative sources such as ancient writings and traditional assumptions. Some of those sources did contain some genuine knowledge, but it was entrenched in the form of dogmas along with many falsehoods”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,enlightenment,gene,knowledge,,,,,,,,,,
"“Observations are theory-laden. Given an experimental oddity, we have no way of predicting whether it will eventually be explained merely by correcting a minor parochial assumption or by revolutionizing entire sciences. We can know that only after we have seen it in the light of a new explanation.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,explanation,parochialism,explainer,prediction,,,,,,,,
"“Blind optimism is a stance towards the future. It consists of proceeding as if one knows that the bad outcomes will not happen. The opposite approach, blind pessimism, often called the precautionary principle, seeks to ward off disaster by avoiding everything not known to be safe. No one seriously advocates either of these two as a universal policy, but their assumptions and their arguments are common, and often creep into people’s planning.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,optimism,,,,,,,,,,,
"“Our Final Century makes the case that the period since the mid twentieth century has been the first in which technology has been capable of destroying civilization. But that is not so. Many civilizations in history were destroyed by the simple technologies of fire and the sword. Indeed, of all civilizations in history, the overwhelming majority have been destroyed, some intentionally, some as a result of plague or natural disaster. Virtually all of them could have avoided the catastrophes that destroyed them if only they had possessed a little additional knowledge, such as improved agricultural or military technology, better hygiene, or better political or economic institutions. Very few, if any, could have been saved by greater caution about innovation. In fact most had enthusiastically implemented the precautionary principle.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,institution,knowledge,culture,,,,,,,,,,
"“So fruitful has this abandonment of anthropocentric theories been, and so important in the broader history of ideas, that anti-anthropocentrism has increasingly been elevated to the status of a universal principle, sometimes called the ‘Principle of Mediocrity’: there is nothing significant about humans (in the cosmic scheme of things). As the physicist Stephen Hawking put it, humans are ‘just a chemical scum on the surface of a typical planet that’s in orbit round a typical star on the outskirts of a typical galaxy’.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,universe,anthropocentric,physics,theory,,,,,,,,,
"“The second fundamental misconception in inductivism is that scientific theories predict that ‘the future will resemble the past’, and that ‘the unseen resembles the seen’ and so on. (Or that it ‘probably’ will.) But in reality the future is unlike the past, the unseen very different from the seen. Science often predicts – and brings about – phenomena spectacularly different from anything that has been experienced before. For millennia people dreamed about flying, but they experienced only falling. Then they discovered good explanatory theories about flying, and then they flew – in that order. Before 1945, no human being had ever observed a nuclear-fission (atomic-bomb) explosion; there may never have been one in the history of the universe. Yet the first such explosion, and the conditions under which it would occur, had been accurately predicted – but not from the assumption that the future would be like the past. Even sunrise – that favourite example of inductivists – is not always observed every twenty-four hours: when viewed from orbit it may happen every ninety minutes, or not at all. And that was known from theory long before anyone had ever orbited the Earth.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,explanation,induction,universe,prediction,theory,inductivism,,,,,,
“People are significant in the cosmic scheme of things; and The Earth’s biosphere is incapable of supporting human life.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,,,,,,,,,,,,,
"“The Medici were soon promoting the new philosophy of ‘humanism’, which valued knowledge above dogma, and virtues such as intellectual independence, curiosity, good taste and friendship over piety and humility.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,knowledge,,,,,,,,,,,,
"“Many citizens were persuaded, and in 1494 Savonarola managed to seize power. He reimposed all the traditional restrictions on art, literature, thought and behaviour. Secular music was banned. Clothing had to be plain. Frequent fasting became effectively compulsory. Homosexuality and prostitution were violently suppressed. The Jews of Florence were expelled. Gangs of ruffians inspired by Savonarola roamed the city searching for taboo artefacts such as mirrors, cosmetics, musical instruments, secular books, and almost anything beautiful. A huge pile of such treasures was ceremonially burned in the so-called ‘Bonfire of the Vanities’ in the centre of the city. Botticelli is said to have thrown some of his own paintings into the fire. It was the bonfire of optimism.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,instrumentalism,optimism,behaviourism,,,,,,,,,,
"“For example, the philosopher Roger Bacon (1214–94) is noted for rejecting dogma, advocating observation as a way of discovering the truth (albeit by ‘induction’), and making several scientific discoveries.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,induction,,,,,,,,,,,,
"“They can be understood only by being explained. Fortunately, our best theories embody deep explanations as well as accurate predictions.”",David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explainer,prediction,explanation,theory,,,,,,,,,
"“But that rapid progress lasted for only a generation or so. A charismatic monk, Girolamo Savonarola, began to preach apocalyptic sermons against humanism and every other aspect of the Florentine enlightenment.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,rational,gene,rationality,,,,,,,,,
“Scientific theories explain the objects and phenomena of our experience in terms of an underlying reality which we do not experience directly. But the ability of a theory to explain what we experience is not its most valuable attribute. Its most valuable attribute is that it explains the fabric of reality itself.”,David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explainer,theory,,,,,,,,,,,
"“Instead of looking upon discussion as a stumbling-block in the way of action, we think it an indispensable preliminary to any wise action at all. Pericles, ‘Funeral Oration’, c. 431 BCE”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rational,rationality,,,,,,,,,,,
"“The horror of static societies, which I described in the previous chapter, can now be seen as a hideous practical joke that the universe played on the human species. Our creativity, which evolved in order to increase the amount of knowledge that we could use, and which would immediately have been capable of producing an endless stream of useful innovations as well, was from the outset prevented from doing so by the very knowledge – the memes – that that creativity preserved. The strivings of individuals to better themselves were, from the outset, perverted by a superhumanly evil mechanism that turned their efforts to exactly the opposite end: to thwart all attempts at improvement; to keep sentient beings locked in a crude, suffering state for eternity. Only the Enlightenment, hundreds of thousands of years later, and after who knows how many false starts, may at last have made it practical to escape from that eternity into infinity.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,static,inf,infinite,universe,meme,knowledge,enlightenment,creativity,,,,,
“The most general way of stating the central assertion of the neo-Darwinian theory of evolution is that a population of replicators subject to variation (for instance by imperfect copying) will be taken over by those variants that are better than their rivals at causing themselves to be replicated”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,gene,darwin,replicator,,,,,,,,,,
"“The overwhelming majority of theories are rejected because they contain bad explanations, not because they fail experimental tests. We reject them without ever bothering to test them. For example, consider the theory that eating a kilogram of grass is a cure for the common cold. That theory makes experimentally testable predictions: if people tried the grass cure and found it ineffective, the theory would be proved false. But it has never been tested and probably never will be, because it contains no explanation – either of how the cure would work, or of anything else. We rightly presume it to be false. There are always infinitely many possible theories of that sort, compatible with existing observations and making new predictions, so we could never have the time or resources to test them all. What we test are new theories that seem to show promise of explaining things better than the prevailing ones do.”",David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explanation,infinite,explainer,prediction,theory,inf,,,,,,,
"“To say that prediction is the purpose of a scientific theory is to confuse means with ends. It is like saying that the purpose of a spaceship is to burn fuel. In fact, burning fuel is only one of many things a spaceship has to do to accomplish its real purpose, which is to transport its payload from one point in space to another. Passing experimental tests is only one of many things a theory has to do to achieve the real purpose of science, which is to explain the world.”",David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explainer,science,prediction,,,,,,,,,,
"“As for the statues being ‘vivid evidence of…artistic skills’, Bronowski was having none of that either. To him they were vivid evidence of failure, not success:”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“For example, you cannot predict what numbers will come up on a fair (i.e. unbiased) roulette wheel. But if you understand what it is in the wheel’s design and operation that makes it fair, then you can explain why predicting the numbers is impossible.”",David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explainer,rational,prediction,rationality,,,,,,,,,
"“A theory may be superseded by a new theory which explains more, and is more accurate, but is also easier to understand, in which case the old theory becomes redundant, and we gain more understanding while needing to learn less than before. That is what happened when Nicolaus Copernicus’s theory of the Earth travelling round the Sun superseded the complex Ptolemaic system which had placed the Earth at the centre of the universe.”",David Deutsch,The Fabric of Reality: Towards a Theory of Everything,explainer,universe,,,,,,,,,,,
"“The critical question about these statues is, Why were they all made alike? You see them sitting there, like Diogenes in their barrels, looking at the sky with empty eye-sockets, and watching the sun and the stars go overhead without ever trying to understand them. When the Dutch discovered this island on Easter Sunday in 1722, they said that it had the makings of an earthly paradise. But it did not. An earthly paradise is not made by this empty repetition…These frozen faces, these frozen frames in a film that is running down, mark a civilization which failed to take the first step on the ascent of rational knowledge.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rational,gene,rationality,knowledge,,,,,,,,,
“The statues were all made alike because Easter Island was a static society. It never took that first step in the ascent of man – the beginning of infinity.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inf,infinite,static,,,,,,,,,,
"“You have to live the solution, and to set about solving the new problems that this creates. It is because of this unsustainability that the island of Britain, with a far less hospitable climate than the subtropical Easter Island, now hosts a civilization with at least three times the population density that Easter Island had at its zenith, and at an enormously higher standard of living. Appropriately enough, this civilization has knowledge of how to live well without the forests that once covered much of Britain.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,knowledge,problem,sustain,,,,,,,,,,
